zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Panzhuang,Graspus graspus,Red lava crab,Ring-tailed coatimundi,Female,9/29/2023,25,true
Novopavlovsk,Tockus flavirostris,"Hornbill, yellow-billed","Phalarope, red",Female,1/1/2023,15,false
Fonte de Angeão,Felis concolor,Mountain lion,"Heron, little",Male,2/20/2023,28,false
Wiyayu Barat,Theropithecus gelada,"Baboon, gelada","Dove, laughing",Female,4/8/2023,23,true
Strasbourg,Eira barbata,Tayra,"Starling, red-shouldered glossy",Male,12/30/2023,28,false
Elena,Varanus salvator,"Monitor, water","Vulture, king",Male,11/18/2022,26,false
Yeping,Chelodina longicollis,Snake-necked turtle,"Bird, bare-faced go away",Female,12/27/2023,21,false
Enhe Hada,Macropus robustus,"Wallaroo, common","Stork, marabou",Male,9/15/2023,17,false
São Manuel,Nyctea scandiaca,Snowy owl,Woodrat (unidentified),Female,3/7/2024,7,true
Labney,Bradypus tridactylus,Pale-throated three-toed sloth,Marine iguana,Male,5/10/2023,27,true
Lauro de Freitas,Lasiodora parahybana,"Tarantula, salmon pink bird eater","Lion, south american sea",Non-binary,1/18/2024,22,true
Dąbrowice,Lemur catta,"Lemur, ring-tailed","Squirrel, pine",Female,7/15/2023,8,false
Madīnat Lab‘ūs,Sitta canadensis,Red-breasted nuthatch,"Cat, native",Female,1/24/2024,4,true
Xinzhou,Taurotagus oryx,"Eland, common","Plover, blacksmith",Male,7/29/2023,16,true
Sieradza,Chlamydosaurus kingii,Frilled dragon,"Eagle, bateleur",Female,3/12/2024,21,true
Zheshan,Uraeginthus granatina,Violet-eared waxbill,Kirk's dik dik,Male,10/12/2022,16,true
Hengshui,Sula nebouxii,"Booby, blue-footed",Agama lizard (unidentified),Female,2/18/2024,10,false
Saint-Denis,Antilocapra americana,Pronghorn,"Monitor, white-throated",Genderfluid,11/9/2022,12,true
Aqsay,Eolophus roseicapillus,Red-breasted cockatoo,"Glider, squirrel",Female,7/26/2022,21,true
Černilov,Vombatus ursinus,Common wombat,Sage grouse,Male,8/3/2023,15,false
Sisŏphŏn,Iguana iguana,"Iguana, common green","Zorro, common",Male,8/10/2022,19,false
Cibingbin,unavailable,Ant (unidentified),"Cat, toddy",Female,10/27/2023,21,false
Nankang,Madoqua kirkii,"Dik, kirk's dik",Ring-tailed lemur,Male,12/6/2022,30,true
Marseille,Turtur chalcospilos,Emerald-spotted wood dove,"Colobus, black and white",Non-binary,8/30/2023,30,true
Lianhua,Alectura lathami,"Turkey, australian brush",White-faced tree rat,Female,6/16/2022,7,true
Nam Som,Semnopithecus entellus,"Langur, gray","Tern, royal",Male,11/9/2022,1,true
Östersund,Ara chloroptera,Green-winged macaw,White-winged dove,Male,10/13/2022,8,true
Uddiawan,Psophia viridis,Green-winged trumpeter,Masked booby,Male,11/11/2023,11,false
Konongo,unavailable,Butterfly (unidentified),Sociable weaver,Non-binary,11/10/2022,21,false
Maofan,Chloephaga melanoptera,Andean goose,Red meerkat,Male,8/5/2022,7,false
Nandayure,Erinaceus frontalis,"Hedgehog, south african",Kafue flats lechwe,Female,11/22/2022,1,false
Iquique,Tiliqua scincoides,Blue-tongued lizard,White-throated kingfisher,Female,2/27/2024,19,false
Bourges,Dicrurus adsimilis,Fork-tailed drongo,"Crane, sarus",Male,11/17/2022,1,true
Falun,Corvus albicollis,"Raven, white-necked","Fox, arctic",Female,5/1/2023,13,true
Ikey,Varanus albigularis,White-throated monitor,"Squirrel, eurasian red",Female,4/11/2023,1,true
Mogi das Cruzes,Myotis lucifugus,Little brown bat,Golden-mantled ground squirrel,Polygender,6/24/2022,10,true
Anao,Cercopithecus aethiops,Vervet monkey,Yak,Male,9/10/2022,10,false
Vlycháda,Eunectes sp.,Anaconda (unidentified),"Waxbill, black-cheeked",Female,11/16/2023,8,true
Ar Ramthā,Myrmecophaga tridactyla,"Anteater, giant",Crowned eagle,Male,1/12/2024,7,false
Baojia,Vombatus ursinus,Common wombat,"Shrike, southern white-crowned",Male,12/19/2023,16,false
Wuda,Larus fuliginosus,Lava gull,Urial,Female,12/7/2022,3,false
Santisimo Rosario,Phascogale calura,"Wambenger, red-tailed","Skunk, western spotted",Female,10/17/2022,24,true
Bururi,Lybius torquatus,"Barbet, black-collared",Blackish oystercatcher,Male,2/8/2024,9,true
Lenakapa,Alopex lagopus,"Fox, arctic","Pigeon, feral rock",Female,8/9/2022,22,false
Jiuxian,Erinaceus frontalis,South African hedgehog,"Stork, european",Male,12/24/2022,6,true
Pinellas Park,Heloderma horridum,Mexican beaded lizard,Numbat,Female,10/30/2023,6,false
Roslavl’,Gekko gecko,Tokay gecko,"Jackal, asiatic",Male,12/20/2022,8,true
Quinta da Queimada,unavailable,Western palm tanager (unidentified),Eastern diamondback rattlesnake,Female,7/31/2022,1,true
Magnitogorsk,Kobus defassa,"Waterbuck, defassa","Frogmouth, tawny",Female,9/24/2022,29,false
Sandyford,Irania gutteralis,White-throated robin,"Colobus, black and white",Male,6/19/2022,17,false
Sanquan,Ursus americanus,American black bear,Red-cheeked cordon bleu,Male,12/26/2023,24,false
Tran,Cygnus buccinator,"Swan, trumpeter",Ornate rock dragon,Female,11/14/2022,11,false
Bungo-Takada-shi,Felis silvestris lybica,European wild cat,"Leopard, indian",Male,1/15/2024,16,true
Anshan,Phacochoerus aethiopus,Warthog,Red-necked wallaby,Female,12/27/2022,23,true
Ponta Grossa,Coluber constrictor foxii,Blue racer,Greater blue-eared starling,Male,1/24/2023,14,true
Gornorechenskiy,Acrantophis madagascariensis,Malagasy ground boa,"Vulture, oriental white-backed",Male,12/12/2022,11,true
Al Mushannaf,Ovis ammon,Red sheep,Hudsonian godwit,Agender,6/17/2022,21,true
Yukuhashi,Alligator mississippiensis,"Alligator, mississippi","Ibis, glossy",Female,10/17/2023,13,true
Åkersberga,Oryx gazella,Gemsbok,"Lemming, collared",Male,4/5/2023,27,false
Almeirim,Papio cynocephalus,Olive baboon,Madagascar fruit bat,Female,9/24/2022,18,false
Fangli,Pseudoleistes virescens,"Marshbird, brown and yellow",Western palm tanager (unidentified),Female,12/8/2023,4,false
Buguruslan,Alligator mississippiensis,Mississippi alligator,Field flicker,Male,7/13/2023,18,false
San Diego,Leprocaulinus vipera,"Insect, stick",Osprey,Male,3/23/2023,26,true
Gýtheio,Pavo cristatus,"Peacock, blue",Dama wallaby,Female,10/2/2022,28,true
Barão de São Miguel,Tamiasciurus hudsonicus,Red squirrel,Black-capped capuchin,Female,11/7/2022,23,true
Rokitno,Cracticus nigroagularis,"Bird, black-throated butcher","Dove, laughing",Male,3/18/2023,2,false
Saint-Maurice,Pseudalopex gymnocercus,Azara's zorro,Lapwing (unidentified),Male,3/23/2024,18,true
Gakovo,Hippotragus niger,"Antelope, sable",Ant (unidentified),Male,1/24/2023,24,true
Rancagua,Stenella coeruleoalba,"Dolphin, striped","Bettong, brush-tailed",Male,1/18/2024,22,false
Kuroishi,Phalaropus lobatus,"Phalarope, red-necked","Egret, cattle",Male,5/21/2023,2,true
Hrvatska Kostajnica,Himantopus himantopus,"Stilt, black-winged",Lizard (unidentified),Female,10/31/2023,24,true
Gaio,Heloderma horridum,"Monster, gila",European beaver,Male,10/11/2023,30,false
Cinyawang,unavailable,Red-winged hawk (unidentified),"Hartebeest, red",Female,9/30/2023,6,true
Cigebrok,Ursus americanus,American black bear,"Insect, stick",Male,11/26/2022,15,true
München,Platalea leucordia,White spoonbill,Common genet,Female,6/20/2022,1,false
Suponevo,unavailable,Hummingbird (unidentified),Greater adjutant stork,Female,9/5/2022,21,true
Wulijie,Elephas maximus bengalensis,"Elephant, asian",Indian jackal,Male,1/31/2024,1,true
Xubao,Ninox superciliaris,"Owl, white-browed",Blue peacock,Male,5/21/2023,17,true
Taobei,Chauna torquata,"Screamer, southern",Adouri (unidentified),Female,12/1/2022,14,true
Lahad Datu,Spermophilus richardsonii,"Squirrel, richardson's ground","Lemur, sportive",Female,11/14/2023,8,true
Taiping,Alligator mississippiensis,"Alligator, american","Eagle, golden",Female,12/5/2023,15,false
Agdangan,Colaptes campestroides,Campo flicker,Crab (unidentified),Male,1/10/2023,11,false
Dabbūrīya,Cercopithecus aethiops,"Monkey, vervet",Magistrate black colobus,Female,6/10/2023,4,true
Xinyi,Paraxerus cepapi,"Squirrel, grey-footed","Colobus, black and white",Male,8/2/2022,9,true
Taghazout,Lamprotornis chalybaeus,Greater blue-eared starling,"Whale, southern right",Male,8/9/2023,7,false
Belyy Yar,Naja nivea,Cape cobra,"Heron, gray",Female,7/23/2023,13,true
Kulaman,Macropus rufogriseus,Bennett's wallaby,"Python, carpet",Female,3/8/2024,29,false
Haiyan,Laniaurius atrococcineus,Crimson-breasted shrike,Nine-banded armadillo,Female,5/15/2023,9,true
Gonābād,Rhea americana,Gray rhea,Honey badger,Female,5/2/2023,27,false
Praia,Coluber constrictor,"Snake, racer",Banded mongoose,Female,9/10/2022,26,true
Guápiles,Taxidea taxus,American badger,"Sandgrouse, yellow-throated",Male,3/14/2024,8,true
Barotac Nuevo,Cervus unicolor,Sambar,White-winged tern,Female,10/19/2023,15,true
Shanlian,Butorides striatus,Striated heron,"Lion, australian sea",Male,11/18/2023,11,false
Kozova,Eutamias minimus,Least chipmunk,"Wombat, common",Male,4/13/2024,23,true
Cigebrok,Chordeiles minor,"Nighthawk, common",Swallow-tail gull,Female,7/20/2022,10,false
Poputnaya,Felis silvestris lybica,African wild cat,"Tamandua, southern",Female,11/27/2023,17,false
Meiktila,Tamandua tetradactyla,Southern tamandua,Striped skunk,Female,3/25/2024,1,true
Adiwerna,Dasyurus viverrinus,"Quoll, eastern","Armadillo, nine-banded",Female,9/19/2022,7,true
Três Pontas,Sciurus vulgaris,"Squirrel, eurasian red",Banded mongoose,Male,2/27/2024,13,false
Gradizhsk,Limnocorax flavirostra,African black crake,Comb duck,Male,7/10/2022,13,false
Toulouse,Coluber constrictor foxii,Blue racer,"Heron, goliath",Female,9/30/2023,16,true
Srednebelaya,Canis dingo,Dingo,"Oystercatcher, blackish",Female,10/31/2022,12,false
Sapernoye,Suricata suricatta,Suricate,African darter,Male,2/16/2024,4,true
Tafraout,Otaria flavescens,South American sea lion,Southern brown bandicoot,Female,2/27/2024,28,false
Lianovérgi,Anser anser,"Goose, greylag","Snake, western patch-nosed",Female,2/27/2023,16,true
San Juan Atitán,Papio cynocephalus,"Baboon, yellow",Magellanic penguin,Female,5/22/2023,8,true
Sarnaki,Phylurus milli,"Gecko, barking",Puna ibis,Male,9/29/2022,2,true
Wangliao,Cathartes aura,Turkey vulture,"Puma, south american",Male,1/27/2023,5,false
Bangil,Paradoxurus hermaphroditus,Toddy cat,Frog (unidentified),Female,5/28/2023,29,false
Akankpa,Ara ararauna,Blue and gold macaw,Brown antechinus,Male,8/18/2022,19,true
Kaskinen,Aegypius tracheliotus,Lappet-faced vulture,"Eagle, bald",Female,8/9/2022,19,true
Bukonyo,Macropus rufus,Red kangaroo,"Pheasant, ring-necked",Male,3/9/2024,22,false
Uruguaiana,Cynomys ludovicianus,Black-tailed prairie dog,Collared lizard,Female,5/15/2023,12,false
Gostivar,Anastomus oscitans,"Openbill, asian",Snowy egret,Male,3/31/2023,24,true
Pasembon,Epicrates cenchria maurus,Columbian rainbow boa,African black crake,Male,11/20/2022,28,true
Napoli,Corvus albicollis,White-necked raven,"Duck, comb",Male,1/4/2024,24,true
Looc,Mephitis mephitis,Striped skunk,"Chipmunk, least",Male,11/24/2022,27,true
Santo António da Charneca,Boselaphus tragocamelus,Nilgai,"Skink, african",Polygender,4/25/2023,25,true
Bollnäs,Iguana iguana,"Iguana, common green",Eastern fox squirrel,Male,3/28/2024,12,true
Honglan,Cebus albifrons,"Capuchin, white-fronted",Turkey vulture,Female,9/1/2022,4,false
Aş Şaff,Sylvicapra grimma,"Duiker, gray","Barbet, crested",Female,1/27/2023,28,false
Veinticinco de Mayo,Bettongia penicillata,Woylie,Ringtail cat,Male,8/29/2022,16,true
Ninghai,Trichosurus vulpecula,Golden brush-tailed possum,Black-crowned night heron,Male,7/1/2022,12,false
Okrika,Crotaphytus collaris,Collared lizard,White-faced tree rat,Male,7/13/2023,10,false
Kalmar,Sagittarius serpentarius,"Bird, secretary",American beaver,Male,1/31/2024,29,false
Gamut,Myotis lucifugus,Little brown bat,Peregrine falcon,Male,12/8/2022,24,false
Byerazino,Coluber constrictor foxii,Blue racer,Egyptian goose,Male,10/19/2022,19,true
Kalipucang,Cebus apella,Brown capuchin,Bent-toed gecko,Female,6/27/2022,15,true
Mas‘adah,Phoeniconaias minor,"Flamingo, lesser","Boa, malagasy ground",Male,12/14/2023,5,true
Kuantan,Macaca nemestrina,"Macaque, pig-tailed","Flamingo, lesser",Male,12/17/2023,16,false
Tanjay,Cabassous sp.,Eleven-banded armadillo (unidentified),"Wambenger, red-tailed",Male,7/5/2023,19,true
Petropavlovsk,Phylurus milli,Barking gecko,Pig-tailed macaque,Male,11/6/2023,21,false
Rizokárpaso,Tockus flavirostris,Yellow-billed hornbill,Agile wallaby,Male,5/4/2023,6,true
Sheffield,Ara chloroptera,"Macaw, red and blue",Long-billed cockatoo,Male,6/10/2023,5,false
Fuqiang,Aonyx cinerea,Oriental short-clawed otter,"Squirrel, malabar",Female,9/14/2022,29,true
Ramana,Actophilornis africanus,Lily trotter,Sulfur-crested cockatoo,Female,8/19/2023,16,false
Toul,Callorhinus ursinus,Northern fur seal,Crested porcupine,Male,12/7/2022,27,false
Jielin,unavailable,Hummingbird (unidentified),Vicuna,Male,12/4/2022,21,false
Anin,Bison bison,American bison,"Goose, knob-nosed",Non-binary,7/23/2022,19,true
Saint Paul,Phalaropus fulicarius,Red phalarope,"Phalarope, grey",Male,4/17/2023,10,true
Oxelösund,Haematopus ater,"Oystercatcher, blackish","Spider, wolf",Male,9/15/2022,11,false
Zavoronezhskoye,Upupa epops,"Hoopoe, eurasian","Squirrel, antelope ground",Female,11/2/2022,16,false
Hernández,Alligator mississippiensis,Mississippi alligator,Emu,Male,3/29/2023,17,false
Bezlyudivka,Macropus rufogriseus,Bennett's wallaby,"Eagle, bald",Male,1/29/2023,6,true
San Gabriel,Uraeginthus granatina,Violet-eared waxbill,"Raccoon, common",Male,12/24/2022,16,false
Orsk,Ceratotherium simum,Square-lipped rhinoceros,"Bandicoot, southern brown",Male,7/21/2022,8,false
Gaotian,Trachyphonus vaillantii,Levaillant's barbet,"Flamingo, roseat",Female,1/19/2024,10,true
Pančevo,Geospiza sp.,Darwin ground finch (unidentified),"Lizard, frilled",Male,7/7/2022,9,true
Hrádek,Lemur catta,Ring-tailed lemur,African bush squirrel,Female,10/11/2023,14,false
Novoselitsa,Pavo cristatus,"Peacock, blue",Common shelduck,Female,12/15/2023,28,true
Sri Jayewardenepura Kotte,Amblyrhynchus cristatus,"Iguana, marine","Eagle, crowned",Male,7/28/2023,14,false
Bator,Ursus maritimus,Polar bear,"Wallaby, bennett's",Agender,8/22/2022,23,false
Minas de Matahambre,Ursus americanus,American black bear,Sportive lemur,Female,11/28/2023,1,true
Yelenendorf,Bettongia penicillata,Woylie,Common turkey,Male,7/9/2023,15,false
Gaoxiang,Macropus rufogriseus,"Wallaby, bennett's",Madagascar hawk owl,Male,4/22/2023,27,false
Basiao,Recurvirostra avosetta,"Avocet, pied",Asiatic jackal,Male,12/21/2022,8,true
Chalon-sur-Saône,Alopochen aegyptiacus,Egyptian goose,Yellow-headed caracara,Male,11/30/2023,7,true
Enrile,Ceratotherium simum,"Rhinoceros, white",Common boubou shrike,Female,7/14/2023,5,false
Donskoy,Rhabdomys pumilio,"Mouse, four-striped grass",Southern black-backed gull,Male,4/28/2023,16,true
Sharkawshchyna,Phalaropus lobatus,Red-necked phalarope,"Wombat, southern hairy-nosed",Female,11/1/2023,21,false
Pasadena,Lamprotornis superbus,"Starling, superb",Red-cheeked cordon bleu,Male,12/31/2022,27,true
Aydūn,Macropus rufogriseus,Bennett's wallaby,Salmon pink bird eater tarantula,Male,7/21/2022,25,false
Żywiec,Felis serval,Serval,Tarantula,Male,11/25/2023,19,false
Taimaman,Sarcorhamphus papa,King vulture,Whip-tailed wallaby,Genderfluid,4/13/2024,12,false
Borda da Mata,Genetta genetta,"Genet, small-spotted",Klipspringer,Female,12/10/2022,28,true
La Joya,Drymarchon corias couperi,"Snake, eastern indigo",Vicuna,Male,12/2/2022,17,false
Colorado Springs,Ardea cinerea,Gray heron,"Bear, grizzly",Non-binary,10/11/2022,12,true
Chester,Papio cynocephalus,"Baboon, yellow",Hummingbird (unidentified),Male,5/20/2023,8,true
Lunao,Ninox superciliaris,White-browed owl,Nelson ground squirrel,Male,2/19/2024,4,false
Shahrak-e Bākharz,Manouria emys,Asian foreset tortoise,Purple grenadier,Male,7/22/2022,20,true
Sapu Padidu,Epicrates cenchria maurus,Columbian rainbow boa,Topi,Male,10/20/2023,12,true
Markaz-e Woluswalī-ye Āchīn,Ictalurus furcatus,Blue catfish,Southern hairy-nosed wombat,Male,1/29/2023,23,true
Shangrao,Panthera leo persica,Asian lion,Little cormorant,Female,8/31/2023,10,false
Kampokpok,Macropus agilis,Jungle kangaroo,Guanaco,Male,1/31/2023,7,true
Port-Cartier,Didelphis virginiana,American Virginia opossum,Grey fox,Male,2/20/2023,30,false
Abilay,Vicugna vicugna,Vicuna,"Rabbit, eastern cottontail",Male,1/7/2023,27,false
Yinkeng,Meles meles,"Badger, european","Monitor, two-banded",Female,4/17/2023,24,false
Carora,Coluber constrictor,"Racer, american",Short-nosed bandicoot,Female,11/19/2023,26,true
Pagnag,Ceratotherium simum,"Rhinoceros, white",Musk ox,Female,7/26/2023,2,true
Qaryat ad Da‘īs,Drymarchon corias couperi,"Snake, eastern indigo",Margay,Female,10/19/2023,18,false
Jaboatão,Larus dominicanus,Kelp gull,Malagasy ground boa,Male,2/2/2023,12,true
Shuangjing,Upupa epops,Eurasian hoopoe,"Monkey, black spider",Female,5/2/2023,12,false
Brusque,Acridotheres tristis,Indian mynah,Guerza,Female,5/8/2023,26,false
Kovdor,Coracias caudata,Lilac-breasted roller,Tawny eagle,Female,7/23/2023,3,true
Kafachan,Kobus defassa,Common waterbuck,Arctic fox,Female,6/19/2022,3,false
Lampang,Ephippiorhynchus mycteria,Jabiru stork,Cook's tree boa,Male,11/30/2023,13,true
Kujung,Spheniscus magellanicus,Magellanic penguin,"Trotter, lily",Genderfluid,10/13/2022,27,false
Sanshandao,Philetairus socius,Sociable weaver,House crow,Female,8/1/2023,28,false
Pinheiro Machado,Merops nubicus,Carmine bee-eater,"Grenadier, common",Genderfluid,8/6/2023,3,false
Tanzhesi,Alcelaphus buselaphus cokii,"Hartebeest, coke's",Black-tailed deer,Female,10/17/2023,11,true
Čair,Delphinus delphis,"Dolphin, common","Dog, raccoon",Female,6/1/2023,30,false
Motomiya,Bradypus tridactylus,Pale-throated three-toed sloth,"Flamingo, chilean",Female,8/13/2022,6,false
Balayong,Paraxerus cepapi,Smith's bush squirrel,Wild boar,Male,2/3/2024,17,true
Armenia,Trachyphonus vaillantii,Levaillant's barbet,Desert tortoise,Male,3/10/2024,23,true
Íos,Ramphastos tucanus,"Toucan, white-throated",Anaconda (unidentified),Genderfluid,11/14/2022,6,true
Návsí u Jablunkova,Scolopax minor,American woodcock,Carmine bee-eater,Male,6/16/2022,7,false
Kilkenny,Cyrtodactylus louisiadensis,"Gecko, bent-toed","Rhinoceros, white",Male,9/30/2022,21,true
Loreto,Trichosurus vulpecula,Common brushtail possum,Harbor seal,Male,8/23/2023,30,true
Bashtanka,Felis libyca,"Cat, cape wild","Rattlesnake, dusky",Male,8/26/2023,24,false
San Sebastian,Uraeginthus bengalus,"Bleu, red-cheeked cordon",White spoonbill,Female,11/8/2023,12,false
São Bento,Capreolus capreolus,Roe deer,Cobra (unidentified),Non-binary,5/12/2023,6,true
Francisco J Mujica,Nectarinia chalybea,"Sunbird, lesser double-collared","Capuchin, black-capped",Female,9/27/2022,27,false
Xinjiang,Lamprotornis nitens,Cape starling,Barrows goldeneye,Male,7/19/2022,15,false
Nanjing,Haliaetus vocifer,"Eagle, african fish",Javan gold-spotted mongoose,Female,1/1/2023,29,false
Binangun,Varanus sp.,"Lizard, goanna",Ground monitor (unidentified),Female,2/22/2023,13,true
Venezia,Conolophus subcristatus,Land iguana,Green-backed heron,Female,10/21/2022,9,false
Dadiya,Eolophus roseicapillus,"Cockatoo, roseate",Southern sea lion,Male,8/31/2023,9,true
Behābād,Macropus rufus,"Kangaroo, red","Zebra, common",Female,5/25/2023,25,false
Rumenka,Phalacrocorax brasilianus,Neotropic cormorant,Ringtail cat,Female,9/6/2023,22,false
Nghi Xuân,Thamnolaea cinnmomeiventris,"Cliffchat, mocking",Great white pelican,Female,5/5/2023,23,false
Kallífytos,Bubo virginianus,Great horned owl,"Duiker, gray",Male,11/20/2023,9,true
Donnacona,Ceratotherium simum,White rhinoceros,Field flicker,Male,9/23/2022,26,true
Kharkiv,Lycaon pictus,"Dog, african wild",Common zorro,Male,9/18/2022,22,true
Puro Pinget,Mycteria ibis,"Stork, yellow-billed","Magpie, australian",Female,9/13/2022,4,true
Vodnjan,Corvus brachyrhynchos,American crow,"Cliffchat, mocking",Male,11/7/2022,8,false
Yuscarán,Genetta genetta,"Genet, small-spotted",Woodchuck,Female,6/12/2023,10,true
Puricay,Ninox superciliaris,White-browed owl,"Weaver, red-billed buffalo",Male,11/1/2023,1,true
Lāchi,Tamiasciurus hudsonicus,"Squirrel, pine",Potoroo,Female,12/21/2022,21,false
Brušperk,Mustela nigripes,"Ferret, black-footed","Quail, gambel's",Female,10/20/2022,12,false
Ekerö,Felis silvestris lybica,European wild cat,"Seal, southern elephant",Male,3/3/2024,2,false
Barengkok,Fulica cristata,"Coot, red-knobbed","Possum, pygmy",Female,3/2/2024,4,true
